brands,latitude,longitude,street_address,city,postal_code,week_start_date,median_dwell,h3_cell,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,total_visits,android,ios
Burger King,33.5632,-117.647,27702 Crown Valley Pkwy,Ladera Ranch,92694.0,2020-12-28,13.5,8629a5497ffffff,23,16,13,17,10,21,16,116,20,87
Burger King,33.5632,-117.647,27702 Crown Valley Pkwy,Ladera Ranch,92694.0,2021-01-04,11.5,8629a5497ffffff,12,9,14,10,19,26,20,110,18,85
Burger King,33.5632,-117.647,27702 Crown Valley Pkwy,Ladera Ranch,92694.0,2021-01-11,10.5,8629a5497ffffff,14,11,8,8,14,15,22,92,17,63
Burger King,33.5632,-117.647,27702 Crown Valley Pkwy,Ladera Ranch,92694.0,2021-01-18,10.0,8629a5497ffffff,17,11,8,19,21,23,14,113,25,86
Burger King,33.5632,-117.647,27702 Crown Valley Pkwy,Ladera Ranch,92694.0,2021-01-25,12.0,8629a5497ffffff,14,17,20,15,18,20,19,123,36,76
Burger King,33.5632,-117.647,27702 Crown Valley Pkwy,Ladera Ranch,92694.0,2021-02-01,10.0,8629a5497ffffff,12,8,15,20,13,18,11,97,24,66
Burger King,33.5632,-117.647,27702 Crown Valley Pkwy,Ladera Ranch,92694.0,2021-02-08,9.0,8629a5497ffffff,16,11,8,12,16,18,16,97,19,74
Burger King,33.5632,-117.647,27702 Crown Valley Pkwy,Ladera Ranch,92694.0,2021-02-15,11.0,8629a5497ffffff,16,15,7,20,14,21,22,115,29,77
Burger King,33.5632,-117.647,27702 Crown Valley Pkwy,Ladera Ranch,92694.0,2021-02-22,10.0,8629a5497ffffff,14,12,11,15,22,27,15,116,28,85
Burger King,33.5632,-117.647,27702 Crown Valley Pkwy,Ladera Ranch,92694.0,2021-03-01,11.0,8629a5497ffffff,12,10,12,11,15,21,14,95,18,73
Burger King,33.5632,-117.647,27702 Crown Valley Pkwy,Ladera Ranch,92694.0,2021-03-08,10.5,8629a5497ffffff,18,8,11,19,14,3,19,92,32,57
Burger King,33.5632,-117.647,27702 Crown Valley Pkwy,Ladera Ranch,92694.0,2021-03-15,11.5,8629a5497ffffff,13,19,14,5,20,16,23,110,32,84
Burger King,33.5632,-117.647,27702 Crown Valley Pkwy,Ladera Ranch,92694.0,2021-03-22,11.0,8629a5497ffffff,15,17,16,20,16,18,22,124,24,97
Burger King,33.5632,-117.647,27702 Crown Valley Pkwy,Ladera Ranch,92694.0,2021-03-29,10.0,8629a5497ffffff,7,11,13,16,19,31,32,129,20,97
Burger King,33.5632,-117.647,27702 Crown Valley Pkwy,Ladera Ranch,92694.0,2021-04-05,10.0,8629a5497ffffff,10,14,12,13,11,16,12,88,11,70
Burger King,33.5632,-117.647,27702 Crown Valley Pkwy,Ladera Ranch,92694.0,2021-04-12,13.0,8629a5497ffffff,11,16,18,6,19,20,24,114,21,85
Burger King,33.5632,-117.647,27702 Crown Valley Pkwy,Ladera Ranch,92694.0,2021-04-19,10.0,8629a5497ffffff,14,20,15,15,18,30,23,135,37,92
Burger King,33.5632,-117.647,27702 Crown Valley Pkwy,Ladera Ranch,92694.0,2021-04-26,9.0,8629a5497ffffff,16,16,20,15,18,25,18,128,25,93
Burger King,33.5632,-117.647,27702 Crown Valley Pkwy,Ladera Ranch,92694.0,2021-05-03,10.0,8629a5497ffffff,11,16,18,11,28,24,17,125,26,95
Burger King,33.5632,-117.647,27702 Crown Valley Pkwy,Ladera Ranch,92694.0,2021-05-10,10.0,8629a5497ffffff,12,16,21,7,17,29,18,120,31,86
Burger King,33.5632,-117.647,27702 Crown Valley Pkwy,Ladera Ranch,92694.0,2021-05-17,11.0,8629a5497ffffff,16,21,16,20,11,17,15,116,25,88
Burger King,33.5632,-117.647,27702 Crown Valley Pkwy,Ladera Ranch,92694.0,2021-05-24,10.0,8629a5497ffffff,23,21,17,19,14,20,23,137,25,104
Burger King,33.5632,-117.647,27702 Crown Valley Pkwy,Ladera Ranch,92694.0,2021-05-31,9.0,8629a5497ffffff,21,24,27,26,22,27,22,169,35,122
Burger King,33.5632,-117.647,27702 Crown Valley Pkwy,Ladera Ranch,92694.0,2021-06-07,9.0,8629a5497ffffff,10,17,17,14,15,19,26,118,30,80
Burger King,33.5632,-117.647,27702 Crown Valley Pkwy,Ladera Ranch,92694.0,2021-06-14,10.0,8629a5497ffffff,17,12,14,10,14,24,8,99,25,68
Burger King,33.5632,-117.647,27702 Crown Valley Pkwy,Ladera Ranch,92694.0,2021-06-21,19.5,8629a5497ffffff,19,11,11,14,15,22,14,106,25,70
Burger King,33.5632,-117.647,27702 Crown Valley Pkwy,Ladera Ranch,92694.0,2021-06-28,12.0,8629a5497ffffff,18,13,17,15,18,22,10,113,36,72
Burger King,33.5632,-117.647,27702 Crown Valley Pkwy,Ladera Ranch,92694.0,2021-07-05,9.5,8629a5497ffffff,11,15,17,14,12,29,14,112,27,71
Burger King,33.5632,-117.647,27702 Crown Valley Pkwy,Ladera Ranch,92694.0,2021-07-12,10.0,8629a5497ffffff,11,11,14,23,17,21,21,118,32,79
Burger King,33.5632,-117.647,27702 Crown Valley Pkwy,Ladera Ranch,92694.0,2021-07-19,11.0,8629a5497ffffff,19,16,11,16,24,15,12,113,25,79
Burger King,33.5632,-117.647,27702 Crown Valley Pkwy,Ladera Ranch,92694.0,2021-07-26,10.0,8629a5497ffffff,13,18,13,15,13,9,22,103,28,68
Burger King,33.5632,-117.647,27702 Crown Valley Pkwy,Ladera Ranch,92694.0,2021-08-02,10.0,8629a5497ffffff,19,14,9,19,15,18,14,108,27,73
Burger King,33.5632,-117.647,27702 Crown Valley Pkwy,Ladera Ranch,92694.0,2021-08-09,11.0,8629a5497ffffff,10,15,20,19,20,14,24,122,35,78
Burger King,33.5632,-117.647,27702 Crown Valley Pkwy,Ladera Ranch,92694.0,2021-08-16,10.0,8629a5497ffffff,14,10,16,15,18,17,16,106,25,80
Burger King,33.5632,-117.647,27702 Crown Valley Pkwy,Ladera Ranch,92694.0,2021-08-23,10.0,8629a5497ffffff,17,18,15,14,21,14,16,115,27,82
Burger King,33.5632,-117.647,27702 Crown Valley Pkwy,Ladera Ranch,92694.0,2021-08-30,11.0,8629a5497ffffff,13,19,21,18,28,11,23,133,30,92
Burger King,33.5632,-117.647,27702 Crown Valley Pkwy,Ladera Ranch,92694.0,2021-09-06,10.0,8629a5497ffffff,13,21,14,15,8,17,14,102,35,59
Burger King,33.5632,-117.647,27702 Crown Valley Pkwy,Ladera Ranch,92694.0,2021-09-13,11.0,8629a5497ffffff,9,17,13,17,26,11,12,105,27,69
Burger King,33.5632,-117.647,27702 Crown Valley Pkwy,Ladera Ranch,92694.0,2021-09-20,11.0,8629a5497ffffff,18,17,14,16,13,15,18,111,24,78
Burger King,33.5632,-117.647,27702 Crown Valley Pkwy,Ladera Ranch,92694.0,2021-09-27,11.0,8629a5497ffffff,17,18,5,9,17,18,20,104,24,66
Burger King,33.5632,-117.647,27702 Crown Valley Pkwy,Ladera Ranch,92694.0,2021-10-04,12.5,8629a5497ffffff,21,18,12,16,15,17,19,118,28,80
Burger King,33.5632,-117.647,27702 Crown Valley Pkwy,Ladera Ranch,92694.0,2021-10-11,11.0,8629a5497ffffff,17,13,26,16,18,12,15,117,36,71
Burger King,33.5632,-117.647,27702 Crown Valley Pkwy,Ladera Ranch,92694.0,2021-10-18,13.0,8629a5497ffffff,16,16,19,5,22,19,15,112,23,76
