brands,latitude,longitude,street_address,city,postal_code,week_start_date,median_dwell,h3_cell,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,total_visits,android,ios
Taco Bell,33.4218,-117.6088,918 S El Camino Real,San Clemente,92672.0,2020-12-28,11.0,8629a0967ffffff,14,12,8,14,7,11,15,81,8,47
Taco Bell,33.4218,-117.6088,918 S El Camino Real,San Clemente,92672.0,2021-01-04,11.0,8629a0967ffffff,14,19,15,17,15,23,18,121,15,64
Taco Bell,33.4218,-117.6088,918 S El Camino Real,San Clemente,92672.0,2021-01-11,19.0,8629a0967ffffff,5,12,21,12,18,18,22,108,14,56
Taco Bell,33.4218,-117.6088,918 S El Camino Real,San Clemente,92672.0,2021-01-18,15.5,8629a0967ffffff,18,17,16,19,14,12,14,110,26,57
Taco Bell,33.4218,-117.6088,918 S El Camino Real,San Clemente,92672.0,2021-01-25,20.0,8629a0967ffffff,8,7,11,3,11,5,5,50,6,29
Taco Bell,33.4218,-117.6088,918 S El Camino Real,San Clemente,92672.0,2021-02-01,16.0,8629a0967ffffff,11,9,11,11,12,15,15,84,9,56
Taco Bell,33.4218,-117.6088,918 S El Camino Real,San Clemente,92672.0,2021-02-08,11.0,8629a0967ffffff,8,10,7,17,18,24,17,101,12,64
Taco Bell,33.4218,-117.6088,918 S El Camino Real,San Clemente,92672.0,2021-02-15,11.5,8629a0967ffffff,24,14,4,18,20,12,14,106,20,65
Taco Bell,33.4218,-117.6088,918 S El Camino Real,San Clemente,92672.0,2021-02-22,12.0,8629a0967ffffff,12,16,12,12,23,21,21,117,19,72
Taco Bell,33.4218,-117.6088,918 S El Camino Real,San Clemente,92672.0,2021-03-01,10.0,8629a0967ffffff,17,12,19,14,23,17,21,123,21,73
Taco Bell,33.4218,-117.6088,918 S El Camino Real,San Clemente,92672.0,2021-03-08,10.0,8629a0967ffffff,7,19,15,18,18,7,18,102,19,57
Taco Bell,33.4218,-117.6088,918 S El Camino Real,San Clemente,92672.0,2021-03-15,10.0,8629a0967ffffff,10,19,10,16,20,26,14,115,18,75
Taco Bell,33.4218,-117.6088,918 S El Camino Real,San Clemente,92672.0,2021-03-22,10.0,8629a0967ffffff,18,20,11,20,24,16,34,143,24,96
Taco Bell,33.4218,-117.6088,918 S El Camino Real,San Clemente,92672.0,2021-03-29,9.0,8629a0967ffffff,17,19,18,16,27,21,22,140,21,96
Taco Bell,33.4218,-117.6088,918 S El Camino Real,San Clemente,92672.0,2021-04-05,10.0,8629a0967ffffff,30,16,17,13,24,16,23,139,25,94
Taco Bell,33.4218,-117.6088,918 S El Camino Real,San Clemente,92672.0,2021-04-12,9.0,8629a0967ffffff,12,7,14,11,20,18,29,111,27,65
Taco Bell,33.4218,-117.6088,918 S El Camino Real,San Clemente,92672.0,2021-04-19,11.5,8629a0967ffffff,17,11,13,24,23,13,13,114,18,71
Taco Bell,33.4218,-117.6088,918 S El Camino Real,San Clemente,92672.0,2021-04-26,15.5,8629a0967ffffff,13,17,15,20,29,17,17,128,17,83
Taco Bell,33.4218,-117.6088,918 S El Camino Real,San Clemente,92672.0,2021-05-03,10.0,8629a0967ffffff,13,12,13,12,19,15,22,106,19,68
Taco Bell,33.4218,-117.6088,918 S El Camino Real,San Clemente,92672.0,2021-05-10,10.0,8629a0967ffffff,10,11,8,20,17,21,12,99,17,70
Taco Bell,33.4218,-117.6088,918 S El Camino Real,San Clemente,92672.0,2021-05-17,10.0,8629a0967ffffff,16,9,13,11,17,18,18,102,18,70
Taco Bell,33.4218,-117.6088,918 S El Camino Real,San Clemente,92672.0,2021-05-24,8.0,8629a0967ffffff,25,11,16,17,20,24,15,128,21,94
Taco Bell,33.4218,-117.6088,918 S El Camino Real,San Clemente,92672.0,2021-05-31,8.0,8629a0967ffffff,12,15,19,15,16,19,14,110,28,71
Taco Bell,33.4218,-117.6088,918 S El Camino Real,San Clemente,92672.0,2021-06-07,10.0,8629a0967ffffff,13,12,20,13,30,16,24,128,30,86
Taco Bell,33.4218,-117.6088,918 S El Camino Real,San Clemente,92672.0,2021-06-14,10.0,8629a0967ffffff,13,22,33,16,16,21,20,141,44,88
Taco Bell,33.4218,-117.6088,918 S El Camino Real,San Clemente,92672.0,2021-06-21,8.0,8629a0967ffffff,17,15,20,19,14,24,9,118,21,79
Taco Bell,33.4218,-117.6088,918 S El Camino Real,San Clemente,92672.0,2021-06-28,10.0,8629a0967ffffff,15,15,13,13,22,20,17,115,26,66
Taco Bell,33.4218,-117.6088,918 S El Camino Real,San Clemente,92672.0,2021-07-05,9.0,8629a0967ffffff,13,26,16,17,16,13,18,119,31,76
Taco Bell,33.4218,-117.6088,918 S El Camino Real,San Clemente,92672.0,2021-07-12,9.0,8629a0967ffffff,14,14,20,17,25,16,19,125,33,80
Taco Bell,33.4218,-117.6088,918 S El Camino Real,San Clemente,92672.0,2021-07-19,10.0,8629a0967ffffff,13,10,14,19,14,20,23,113,33,59
Taco Bell,33.4218,-117.6088,918 S El Camino Real,San Clemente,92672.0,2021-07-26,10.0,8629a0967ffffff,17,13,14,6,23,11,17,101,28,62
Taco Bell,33.4218,-117.6088,918 S El Camino Real,San Clemente,92672.0,2021-08-02,9.0,8629a0967ffffff,21,12,8,13,8,20,20,102,25,64
Taco Bell,33.4218,-117.6088,918 S El Camino Real,San Clemente,92672.0,2021-08-09,10.0,8629a0967ffffff,13,17,16,18,23,24,12,123,21,81
Taco Bell,33.4218,-117.6088,918 S El Camino Real,San Clemente,92672.0,2021-08-16,10.0,8629a0967ffffff,13,14,13,11,17,17,18,103,21,67
Taco Bell,33.4218,-117.6088,918 S El Camino Real,San Clemente,92672.0,2021-08-23,14.0,8629a0967ffffff,10,9,12,11,9,19,23,93,13,57
Taco Bell,33.4218,-117.6088,918 S El Camino Real,San Clemente,92672.0,2021-08-30,11.0,8629a0967ffffff,12,8,8,7,17,24,15,91,20,60
Taco Bell,33.4218,-117.6088,918 S El Camino Real,San Clemente,92672.0,2021-09-06,9.0,8629a0967ffffff,23,7,11,4,22,21,14,102,20,70
Taco Bell,33.4218,-117.6088,918 S El Camino Real,San Clemente,92672.0,2021-09-13,9.0,8629a0967ffffff,16,11,10,11,13,24,16,101,22,67
Taco Bell,33.4218,-117.6088,918 S El Camino Real,San Clemente,92672.0,2021-09-20,9.0,8629a0967ffffff,10,15,13,6,8,16,11,79,21,47
Taco Bell,33.4218,-117.6088,918 S El Camino Real,San Clemente,92672.0,2021-09-27,11.0,8629a0967ffffff,14,12,10,13,26,12,11,98,11,71
Taco Bell,33.4218,-117.6088,918 S El Camino Real,San Clemente,92672.0,2021-10-04,9.0,8629a0967ffffff,19,11,11,20,20,7,9,97,18,59
Taco Bell,33.4218,-117.6088,918 S El Camino Real,San Clemente,92672.0,2021-10-11,12.0,8629a0967ffffff,7,7,14,16,13,14,16,87,18,52
Taco Bell,33.4218,-117.6088,918 S El Camino Real,San Clemente,92672.0,2021-10-18,9.0,8629a0967ffffff,15,15,6,19,23,26,16,120,22,73
Taco Bell,33.4218,-117.6088,918 S El Camino Real,San Clemente,92672.0,2021-10-25,11.0,8629a0967ffffff,12,11,8,13,15,15,19,93,23,53
Taco Bell,33.4218,-117.6088,918 S El Camino Real,San Clemente,92672.0,2021-11-01,9.5,8629a0967ffffff,15,9,8,13,15,11,9,80,18,44
Taco Bell,33.4218,-117.6088,918 S El Camino Real,San Clemente,92672.0,2021-11-08,10.0,8629a0967ffffff,11,10,9,11,18,10,23,92,21,56
Taco Bell,33.4218,-117.6088,918 S El Camino Real,San Clemente,92672.0,2021-11-15,10.0,8629a0967ffffff,15,16,10,13,13,21,20,108,25,66
Taco Bell,33.4218,-117.6088,918 S El Camino Real,San Clemente,92672.0,2021-11-22,10.0,8629a0967ffffff,18,15,18,7,19,15,31,123,34,84
Taco Bell,33.4218,-117.6088,918 S El Camino Real,San Clemente,92672.0,2021-11-29,10.0,8629a0967ffffff,12,12,8,13,20,9,11,85,18,47
Taco Bell,33.4218,-117.6088,918 S El Camino Real,San Clemente,92672.0,2021-12-06,9.0,8629a0967ffffff,11,9,11,12,15,19,14,91,11,58
Taco Bell,33.4218,-117.6088,918 S El Camino Real,San Clemente,92672.0,2021-12-13,10.0,8629a0967ffffff,10,13,16,13,11,7,7,77,17,44
Taco Bell,33.4218,-117.6088,918 S El Camino Real,San Clemente,92672.0,2021-12-20,11.0,8629a0967ffffff,15,13,11,11,13,2,12,77,16,44
Taco Bell,33.4542,-117.6064,959 Avenida Pico,San Clemente,92673.0,2020-12-28,7.0,8629a0947ffffff,18,12,14,22,14,19,18,117,24,85
Taco Bell,33.4542,-117.6064,959 Avenida Pico,San Clemente,92673.0,2021-01-04,7.0,8629a0947ffffff,13,18,16,16,25,16,24,128,21,96
Taco Bell,33.4542,-117.6064,959 Avenida Pico,San Clemente,92673.0,2021-01-11,8.0,8629a0947ffffff,16,16,14,22,26,20,19,133,27,93
Taco Bell,33.4542,-117.6064,959 Avenida Pico,San Clemente,92673.0,2021-01-18,7.0,8629a0947ffffff,25,16,18,20,25,11,11,126,24,82
Taco Bell,33.4542,-117.6064,959 Avenida Pico,San Clemente,92673.0,2021-01-25,7.0,8629a0947ffffff,14,16,7,29,24,19,16,125,27,87
Taco Bell,33.4542,-117.6064,959 Avenida Pico,San Clemente,92673.0,2021-02-01,7.0,8629a0947ffffff,16,24,20,15,26,20,17,138,23,103
